"Topic Area","Topic","Progress Level","Exercise","Technical Terms"
"Zahlen und Operationen","Zahlen auffassen und darstellen","B","Count objects up to 20","1. Counting
2. Objects
3. Natural numbers
4. Quantity
5. Cardinality
6. Range
7. Enumeration
8. Set
9. Sequence
10. Tallying"
"Zahlen und Operationen","Zahlen auffassen und darstellen","B","Write 15 in tens and ones","1. Place value  
2. Tens  
3. Ones  
4. Decomposition  
5. Numerals  
6. Base-10 system  
7. Expanded form  
8. Addition  
9. Counting  
10. Digit  
11. Value  
12. Integer  
13. Partitioning  
14. Model  
15. Representation"
"Zahlen und Operationen","Zahlen auffassen und darstellen","C","Write 234 in expanded form","1. Expanded form
2. Place value
3. Digits
4. Addition
5. Numerical representation
6. Base-ten system"
"Zahlen und Operationen","Zahlen auffassen und darstellen","C","Show ½ with a fraction bar","- Fraction
- Numerator
- Denominator
- Fraction bar
- Equivalent fractions
- Simplification"
"Zahlen und Operationen","Zahlen auffassen und darstellen","D","Express 3.75 as a fraction","- Decimal
- Fraction
- Numerator
- Denominator
- Mixed number
- Simplification
- Equivalent fractions"
"Zahlen und Operationen","Zahlen auffassen und darstellen","D","Convert 27 (base 10) to base 2","1. Base 10
2. Base 2
3. Conversion
4. Binary
5. Division
6. Remainder
7. Place value
8. Powers of two"
"Zahlen und Operationen","Zahlen auffassen und darstellen","E","Plot negative numbers on a line","1. Number line
2. Origin
3. Positive numbers
4. Negative numbers
5. Interval
6. Scale
7. Coordinate
8. Plotting
9. Axis"
"Zahlen und Operationen","Zahlen auffassen und darstellen","E","Illustrate 3/5 as decimal and percent","1. Fraction
2. Decimal
3. Percent
4. Conversion
5. Numerator
6. Denominator
7. Division
8. Multiplication 
9. Equivalent 
10. Place value"
"Zahlen und Operationen","Zahlen auffassen und darstellen","F","Rewrite 2.4×10³ in standard form","- Scientific notation
- Standard form
- Exponent
- Base
- Decimal point"
"Zahlen und Operationen","Zahlen auffassen und darstellen","F","Represent 125 in binary","- Binary
- Base-2
- Decimal
- Conversion
- Bit
- Digit
- Powers of two
- Place value"
"Zahlen und Operationen","Zahlen auffassen und darstellen","G","Change 5¼ to improper fraction","1. Mixed number
2. Improper fraction
3. Numerator
4. Denominator
5. Whole number
6. Fraction"
"Zahlen und Operationen","Zahlen auffassen und darstellen","G","Plot ¾, √2, –1.5 on a line","1. Number line
2. Rational numbers
3. Irrational numbers
4. Integers
5. Absolute value
6. Plotting points
7. Zero point (origin)
8. Coordinates
9. Scale (units)
10. Positive and negative numbers"
"Zahlen und Operationen","Zahlen auffassen und darstellen","H","Compare decimal/binary/hex","1. Decimal
2. Binary
3. Hexadecimal
4. Base
5. Conversion
6. Bit
7. Byte
8. Digit
9. Place value
10. Representation
11. Overflow
12. Arithmetic operations
13. Number system"
"Zahlen und Operationen","Zahlen auffassen und darstellen","H","Evaluate best representations in context","1. Contextual Analysis  
2. Representation  
3. Evaluation Criteria  
4. Data Visualization  
5. Stakeholder Needs  
6. Usability  
7. Clarity  
8. Accuracy  
9. Relevance  
10. Interpretation  
11. Comparison  
12. Feedback Loop  
13. Design Principles  
14. Audience Engagement  
15. Communication Effectiveness"
"Zahlen und Operationen","Zahlen ordnen","B","Compare two-digit numbers","1. Two-digit numbers  
2. Place value  
3. Tens place  
4. Units place  
5. Comparison  
6. Greater than  
7. Less than  
8. Equal to  
9. Digit  
10. Number line  
11. Ordering  
12. Integer  
13. Natural numbers  
14. Difference  
15. Visual representation"
"Zahlen und Operationen","Zahlen ordnen","B","Place 5 numbers on a number line","1. Number Line  
2. Endpoint  
3. Interval  
4. Coordinate  
5. Distance  
6. Ordering  
7. Rational Numbers  
8. Integer  
9. Origin  
10. Scale"
"Zahlen und Operationen","Zahlen ordnen","C","Order fractions 1/2, 2/3, 3/4","- Fraction
- Numerator
- Denominator
- Common denominator
- Equivalent fractions
- Comparison
- Ordering"
"Zahlen und Operationen","Zahlen ordnen","C","Sort decimals 0.2, 0.15, 0.35","1. Decimal
2. Sorting
3. Ascending order
4. Descending order
5. Place value
6. Comparison
7. Numerical value
8. Sequence"
"Zahlen und Operationen","Zahlen ordnen","D","Round 345.67 to nearest whole/tenth","1. Rounding
2. Nearest whole number
3. Nearest tenth
4. Place value
5. Decimal
6. Integer
7. Halfway point
8. Truncation"
"Zahlen und Operationen","Zahlen ordnen","D","Explain ordering negative numbers","1. Negative numbers  
2. Absolute value  
3. Number line  
4. Comparison  
5. Greater than  
6. Less than  
7. Inverse  
8. Ordering  
9. Sequence  
10. Inequality"
