Topic Area,Topic,Progress Level,Exercise
Numbers and Operations,Understanding and representing numbers,B,"Write the number that comes after 48"
Numbers and Operations,Understanding and representing numbers,B,"Show 28 using tens and ones"
Numbers and Operations,Understanding and representing numbers,B,"Circle all even numbers: 12, 15, 18, 21"
Numbers and Operations,Understanding and representing numbers,B,"What number has 5 tens and 2 ones?"
Numbers and Operations,Understanding and representing numbers,B,"Fill in the blank: 40, 50, ___, 70"
Numbers and Operations,Understanding and representing numbers,B,"Write the missing number: ___, 91, 92, 93"
Numbers and Operations,Understanding and representing numbers,B,"Circle all the numbers that are greater than 25: 14, 26, 30, 19"
Numbers and Operations,Understanding and representing numbers,B,"Write the number in expanded form: 46 = ___ + ___"
Numbers and Operations,Understanding and representing numbers,C,"What is the place value of the 6 in 6,524?"
Numbers and Operations,Understanding and representing numbers,C,"Round 8,649 to the nearest hundred"
Numbers and Operations,Understanding and representing numbers,C,"How many hundreds are there in 6,400?"
Numbers and Operations,Understanding and representing numbers,C,"Fill in the blank: 7,000 + 600 + ___ + 5 = 7,685"
Numbers and Operations,Understanding and representing numbers,C,"Write the smallest 4-digit number you can make using 4, 1, 8, 0."
Numbers and Operations,Understanding and representing numbers,C,"Show the fraction (½) with a fraction bar"
Numbers and Operations,Understanding and representing numbers,C,"Write 234 in expanded form"
Numbers and Operations,Understanding and representing numbers,D,"Express 3.75 as a fraction"
Numbers and Operations,Understanding and representing numbers,D,"Compare using <, >, or =: 3.25 ___ 3.205"
Numbers and Operations,Understanding and representing numbers,D,"Convert 27 (base 10) to base 2"
Numbers and Operations,Understanding and representing numbers,D,"Write 0.007 as a fraction in simplest form"
Numbers and Operations,Understanding and representing numbers,D,"Represent -5 on a number line"
Numbers and Operations,Understanding and representing numbers,D,"Convert 3/4 to a decimal"
Numbers and Operations,Understanding and representing numbers,D,"Which is closer to zero: -3 or -0.7?"
Numbers and Operations,Understanding and representing numbers,E,"Write 4.56 as a fraction in simplest form"
Numbers and Operations,Understanding and representing numbers,E,"Convert 125% to a decimal"
Numbers and Operations,Understanding and representing numbers,E,"What is the absolute value of -1309?"
Numbers and Operations,Understanding and representing numbers,E,"Convert 2.125 to a mixed number"
Numbers and Operations,Understanding and representing numbers,E,"What is the place value of 6 in 3.067?"
Numbers and Operations,Understanding and representing numbers,E,"Express 7/8 as a decimal"
Numbers and Operations,Understanding and representing numbers,F,"Write 3.2 × 10³ in standard form"
Numbers and Operations,Understanding and representing numbers,F,"Write √50 as a decimal to two decimal places"
Numbers and Operations,Understanding and representing numbers,F,"Estimate the value of √65 without a calculator"
Numbers and Operations,Understanding and representing numbers,F,"Write 0.00072 in scientific notation"
Numbers and Operations,Understanding and representing numbers,F,"Convert 125 to binary"
Numbers and Operations,Understanding and representing numbers,F,"Is 4.333... (repeating) a rational or irrational number? Why?"
Numbers and Operations,Understanding and representing numbers,F,"Which number is irrational: 3.14159, 22/7, π?"
Numbers and Operations,Understanding and representing numbers,G,"Change 5¼ to an improper fraction"
Numbers and Operations,Understanding and representing numbers,G,"Plot the numbers 3/4, √2, and –1.5 on a number line"
Numbers and Operations,Understanding and representing numbers,G,"Estimate the position of √5 on a number line"
Numbers and Operations,Understanding and representing numbers,G,"Is 11/7 closer to 1 or 2? Show your reasoning"
Numbers and Operations,Understanding and representing numbers,H,"Convert the decimal number 156 to binary and hexadecimal"
Numbers and Operations,Understanding and representing numbers,H,"Represent the hexadecimal number 1A3 in binary"
Numbers and Operations,Understanding and representing numbers,H,"Write the binary number 101101.11 as a decimal"
Numbers and Operations,Understanding and representing numbers,H,"Determine which of these is irrational: π, 22⁄7, √2, √16"
Numbers and Operations,Understanding and representing numbers,H,"Compare 0x2F (hex) and 47 (decimal) – are they equal?"
Numbers and Operations,Understanding and representing numbers,H,"Express the repeating decimal 0.142857... as a fraction"
Numbers and Operations,Understanding and performing operations,B,"What is 6 + 7? ______"
Numbers and Operations,Understanding and performing operations,B,"Fill in the blank: 9 + ___ = 14"
Numbers and Operations,Understanding and performing operations,B,"Find the result of 25 + 10 = ______"
Numbers and Operations,Understanding and performing operations,B,"What is 6 + 6 + 6? ______"
Numbers and Operations,Understanding and performing operations,B,"A toy costs 12 dollars. You pay with a 20-dollar bill. How much change?"
Numbers and Operations,Understanding and performing operations,B,"Write a number sentence for this: 'Sam has 4 apples. He gets 3 more.'"
Numbers and Operations,Understanding and performing operations,B,"Choose the number sentence that equals 12: A) 8 + 4 B) 5 + 5 C) 6 + 3"
Numbers and Operations,Understanding and performing operations,B,"Which is more: 4 + 3 or 9 – 2? ______"
Numbers and Operations,Understanding and performing operations,C,"Find the result of 324 + 178 = ___"
Numbers and Operations,Understanding and performing operations,C,"Find the result of 5,000 − 1,237 = ___"
Numbers and Operations,Understanding and performing operations,C,"Find the result of 36 × 4 = ___"
Numbers and Operations,Understanding and performing operations,C,"Find the result of 48 ÷ 6 = ___"
Numbers and Operations,Understanding and performing operations,C,"What is the remainder when 25 is divided by 4?"
Numbers and Operations,Understanding and performing operations,D,"Use standard algorithm for 234×12"
Numbers and Operations,Understanding and performing operations,D,"Use long division to divide: 75.6 ÷ 3.2"
Numbers and Operations,Understanding and performing operations,D,"Multiply: ¾ × ⅖"
Numbers and Operations,Understanding and performing operations,D,"Find the quotient: 9 ½ ÷ 3"
Numbers and Operations,Understanding and performing operations,D,"Add: 2 1/3 + 4 2/3"
Numbers and Operations,Understanding and performing operations,E,"Use the associative property to simplify: (x + 5) + 7"
Numbers and Operations,Understanding and performing operations,E,"A shirt costing €40 is on sale for 25% off. How much is the discount?"
Numbers and Operations,Understanding and performing operations,E,"A restaurant bill is €72. What is a 10% tip?"
Numbers and Operations,Understanding and performing operations,F,"Add: (–3/4) + (2/5)"
