exercise,language_1,language_2,language_3,Total_Difference
exercise_268,2.0,0.3333333333333333,2.0,1.6666666666666667
exercise_210,1.8888888888888888,1.0,2.0,1.0
exercise_69,2.0,2.0,1.3333333333333333,0.6666666666666667
exercise_111,2.0,2.0,1.3333333333333333,0.6666666666666667
exercise_98,2.0,1.4444444444444444,2.0,0.5555555555555556
exercise_154,1.6666666666666667,2.0,2.0,0.33333333333333326
exercise_29,2.0,2.0,1.6666666666666667,0.33333333333333326
exercise_199,2.0,2.0,1.6666666666666667,0.33333333333333326
exercise_260,2.0,2.0,1.6666666666666667,0.33333333333333326
exercise_25,2.0,2.0,1.6666666666666667,0.33333333333333326
exercise_68,1.6666666666666667,2.0,2.0,0.33333333333333326
exercise_83,2.0,1.7777777777777777,2.0,0.22222222222222232
exercise_252,1.7777777777777777,1.7777777777777777,2.0,0.22222222222222232
exercise_123,2.0,1.7777777777777777,2.0,0.22222222222222232
exercise_156,1.7777777777777777,1.8888888888888888,2.0,0.22222222222222232
exercise_28,2.0,2.0,1.7777777777777777,0.22222222222222232
exercise_266,2.0,2.0,1.7777777777777777,0.22222222222222232
exercise_14,2.0,1.7777777777777777,1.7777777777777777,0.22222222222222232
exercise_296,1.8888888888888888,2.0,1.7777777777777777,0.22222222222222232
exercise_42,2.0,2.0,1.7777777777777777,0.22222222222222232
exercise_9,1.7777777777777777,2.0,1.8888888888888888,0.22222222222222232
exercise_250,1.7777777777777777,2.0,2.0,0.22222222222222232
exercise_184,1.7777777777777777,2.0,2.0,0.22222222222222232
exercise_2,2.0,1.7777777777777777,2.0,0.22222222222222232
exercise_201,2.0,2.0,1.7777777777777777,0.22222222222222232
exercise_78,1.8888888888888888,2.0,2.0,0.11111111111111116
exercise_316,1.8888888888888888,2.0,2.0,0.11111111111111116
exercise_33,1.8888888888888888,2.0,2.0,0.11111111111111116
exercise_3,2.0,1.8888888888888888,2.0,0.11111111111111116
exercise_30,2.0,1.8888888888888888,2.0,0.11111111111111116
exercise_54,1.8888888888888888,2.0,2.0,0.11111111111111116
exercise_57,2.0,1.8888888888888888,2.0,0.11111111111111116
exercise_59,2.0,2.0,1.8888888888888888,0.11111111111111116
exercise_58,2.0,1.8888888888888888,1.8888888888888888,0.11111111111111116
exercise_116,2.0,2.0,1.8888888888888888,0.11111111111111116
exercise_6,2.0,1.8888888888888888,2.0,0.11111111111111116
exercise_259,1.8888888888888888,2.0,2.0,0.11111111111111116
exercise_262,2.0,1.8888888888888888,2.0,0.11111111111111116
exercise_264,2.0,1.8888888888888888,2.0,0.11111111111111116
exercise_267,2.0,2.0,1.8888888888888888,0.11111111111111116
exercise_271,1.8888888888888888,2.0,2.0,0.11111111111111116
exercise_284,2.0,1.8888888888888888,1.8888888888888888,0.11111111111111116
exercise_276,1.8888888888888888,2.0,2.0,0.11111111111111116
exercise_273,2.0,2.0,1.8888888888888888,0.11111111111111116
exercise_288,1.8888888888888888,2.0,2.0,0.11111111111111116
exercise_131,2.0,1.8888888888888888,2.0,0.11111111111111116
exercise_38,1.8888888888888888,2.0,2.0,0.11111111111111116
exercise_49,2.0,1.8888888888888888,2.0,0.11111111111111116
exercise_242,2.0,1.8888888888888888,2.0,0.11111111111111116
exercise_244,1.8888888888888888,2.0,2.0,0.11111111111111116
exercise_24,2.0,1.8888888888888888,2.0,0.11111111111111116
exercise_153,1.8888888888888888,2.0,2.0,0.11111111111111116
exercise_214,2.0,2.0,1.8888888888888888,0.11111111111111116
exercise_213,1.8888888888888888,2.0,2.0,0.11111111111111116
exercise_23,2.0,2.0,1.8888888888888888,0.11111111111111116
exercise_229,2.0,2.0,1.8888888888888888,0.11111111111111116
exercise_238,2.0,2.0,1.8888888888888888,0.11111111111111116
exercise_161,1.8888888888888888,2.0,2.0,0.11111111111111116
exercise_16,1.8888888888888888,2.0,1.8888888888888888,0.11111111111111116
exercise_200,2.0,2.0,1.8888888888888888,0.11111111111111116
exercise_181,2.0,1.8888888888888888,2.0,0.11111111111111116
exercise_187,2.0,1.8888888888888888,2.0,0.11111111111111116
exercise_88,2.0,2.0,1.8888888888888888,0.11111111111111116
exercise_94,2.0,2.0,1.8888888888888888,0.11111111111111116
exercise_87,2.0,1.8888888888888888,2.0,0.11111111111111116
exercise_86,2.0,1.8888888888888888,2.0,0.11111111111111116
exercise_105,1.8888888888888888,2.0,2.0,0.11111111111111116
exercise_10,2.0,2.0,1.8888888888888888,0.11111111111111116
exercise_100,2.0,2.0,2.0,0.0
exercise_101,2.0,2.0,2.0,0.0
exercise_102,2.0,2.0,2.0,0.0
exercise_103,2.0,2.0,2.0,0.0
exercise_104,2.0,2.0,2.0,0.0
exercise_106,2.0,2.0,2.0,0.0
exercise_107,2.0,2.0,2.0,0.0
exercise_108,2.0,2.0,2.0,0.0
exercise_109,2.0,2.0,2.0,0.0
exercise_11,2.0,2.0,2.0,0.0
exercise_110,2.0,2.0,2.0,0.0
exercise_112,2.0,2.0,2.0,0.0
exercise_113,2.0,2.0,2.0,0.0
exercise_84,2.0,2.0,2.0,0.0
exercise_85,2.0,2.0,2.0,0.0
exercise_89,2.0,2.0,2.0,0.0
exercise_90,2.0,2.0,2.0,0.0
exercise_91,2.0,2.0,2.0,0.0
exercise_92,2.0,2.0,2.0,0.0
exercise_93,2.0,2.0,2.0,0.0
exercise_95,2.0,2.0,2.0,0.0
exercise_96,2.0,2.0,2.0,0.0
exercise_97,2.0,2.0,2.0,0.0
exercise_1,2.0,2.0,2.0,0.0
exercise_172,2.0,2.0,2.0,0.0
exercise_173,2.0,2.0,2.0,0.0
exercise_174,2.0,2.0,2.0,0.0
exercise_175,2.0,2.0,2.0,0.0
exercise_176,2.0,2.0,2.0,0.0
exercise_177,2.0,2.0,2.0,0.0
exercise_178,2.0,2.0,2.0,0.0
exercise_179,2.0,2.0,2.0,0.0
exercise_18,2.0,2.0,2.0,0.0
exercise_180,2.0,2.0,2.0,0.0
exercise_182,2.0,2.0,2.0,0.0
exercise_183,2.0,2.0,2.0,0.0
exercise_185,2.0,2.0,2.0,0.0
exercise_186,2.0,2.0,2.0,0.0
exercise_188,2.0,2.0,2.0,0.0
exercise_189,2.0,2.0,2.0,0.0
exercise_19,2.0,2.0,2.0,0.0
exercise_190,2.0,2.0,2.0,0.0
exercise_191,2.0,2.0,2.0,0.0
exercise_192,2.0,2.0,2.0,0.0
exercise_193,2.0,2.0,2.0,0.0
exercise_194,2.0,2.0,2.0,0.0
exercise_195,2.0,2.0,2.0,0.0
exercise_196,2.0,2.0,2.0,0.0
exercise_197,2.0,2.0,2.0,0.0
exercise_198,2.0,2.0,2.0,0.0
exercise_20,2.0,2.0,2.0,0.0
exercise_158,2.0,2.0,2.0,0.0
exercise_159,2.0,2.0,2.0,0.0
exercise_160,2.0,2.0,2.0,0.0
exercise_162,2.0,2.0,2.0,0.0
exercise_163,2.0,2.0,2.0,0.0
exercise_164,2.0,2.0,2.0,0.0
exercise_165,2.0,2.0,2.0,0.0
exercise_166,2.0,2.0,2.0,0.0
exercise_167,2.0,2.0,2.0,0.0
exercise_168,2.0,2.0,2.0,0.0
exercise_169,2.0,2.0,2.0,0.0
exercise_17,2.0,2.0,2.0,0.0
exercise_170,2.0,2.0,2.0,0.0
exercise_171,2.0,2.0,2.0,0.0
exercise_202,2.0,2.0,2.0,0.0
exercise_203,2.0,2.0,2.0,0.0
exercise_204,2.0,2.0,2.0,0.0
exercise_205,2.0,2.0,2.0,0.0
exercise_206,2.0,2.0,2.0,0.0
exercise_207,2.0,2.0,2.0,0.0
exercise_208,2.0,2.0,2.0,0.0
exercise_209,2.0,2.0,2.0,0.0
exercise_21,2.0,2.0,2.0,0.0
exercise_211,2.0,2.0,2.0,0.0
exercise_212,2.0,2.0,2.0,0.0
exercise_215,2.0,2.0,2.0,0.0
exercise_216,2.0,2.0,2.0,0.0
exercise_217,2.0,2.0,2.0,0.0
exercise_218,2.0,2.0,2.0,0.0
exercise_219,2.0,2.0,2.0,0.0
exercise_22,2.0,2.0,2.0,0.0
exercise_220,2.0,2.0,2.0,0.0
exercise_221,2.0,2.0,2.0,0.0
exercise_222,2.0,2.0,2.0,0.0
exercise_223,2.0,2.0,2.0,0.0
exercise_224,2.0,2.0,2.0,0.0
exercise_225,2.0,2.0,2.0,0.0
exercise_226,2.0,2.0,2.0,0.0
exercise_227,2.0,2.0,2.0,0.0
exercise_228,2.0,2.0,2.0,0.0
exercise_230,2.0,2.0,2.0,0.0
exercise_231,2.0,2.0,2.0,0.0
exercise_232,2.0,2.0,2.0,0.0
exercise_233,2.0,2.0,2.0,0.0
exercise_234,2.0,2.0,2.0,0.0
exercise_235,2.0,2.0,2.0,0.0
exercise_236,2.0,2.0,2.0,0.0
exercise_237,2.0,2.0,2.0,0.0
exercise_239,2.0,2.0,2.0,0.0
exercise_240,2.0,2.0,2.0,0.0
exercise_241,2.0,2.0,2.0,0.0
exercise_243,2.0,2.0,2.0,0.0
exercise_245,2.0,2.0,2.0,0.0
exercise_246,2.0,2.0,2.0,0.0
exercise_247,2.0,2.0,2.0,0.0
exercise_248,2.0,2.0,2.0,0.0
exercise_249,2.0,2.0,2.0,0.0
exercise_251,2.0,2.0,2.0,0.0
exercise_253,2.0,2.0,2.0,0.0
exercise_254,2.0,2.0,2.0,0.0
exercise_255,2.0,2.0,2.0,0.0
exercise_256,2.0,2.0,2.0,0.0
exercise_257,2.0,2.0,2.0,0.0
exercise_258,2.0,2.0,2.0,0.0
exercise_143,2.0,2.0,2.0,0.0
exercise_144,2.0,2.0,2.0,0.0
exercise_145,2.0,2.0,2.0,0.0
exercise_146,2.0,2.0,2.0,0.0
exercise_147,2.0,2.0,2.0,0.0
exercise_148,2.0,2.0,2.0,0.0
exercise_149,2.0,2.0,2.0,0.0
exercise_15,2.0,2.0,2.0,0.0
exercise_150,2.0,2.0,2.0,0.0
exercise_151,2.0,2.0,2.0,0.0
exercise_152,2.0,2.0,2.0,0.0
exercise_155,2.0,2.0,2.0,0.0
exercise_157,2.0,2.0,2.0,0.0
exercise_26,2.0,2.0,2.0,0.0
exercise_261,2.0,2.0,2.0,0.0
exercise_263,2.0,2.0,2.0,0.0
exercise_265,2.0,2.0,2.0,0.0
exercise_269,2.0,2.0,2.0,0.0
exercise_27,2.0,2.0,2.0,0.0
exercise_270,2.0,2.0,2.0,0.0
exercise_272,2.0,2.0,2.0,0.0
exercise_274,2.0,2.0,2.0,0.0
exercise_275,2.0,2.0,2.0,0.0
exercise_277,2.0,2.0,2.0,0.0
exercise_278,2.0,2.0,2.0,0.0
exercise_279,2.0,2.0,2.0,0.0
exercise_280,2.0,2.0,2.0,0.0
exercise_281,2.0,2.0,2.0,0.0
exercise_282,2.0,2.0,2.0,0.0
exercise_283,2.0,2.0,2.0,0.0
exercise_285,2.0,2.0,2.0,0.0
exercise_286,2.0,2.0,2.0,0.0
exercise_287,2.0,2.0,2.0,0.0
exercise_129,2.0,2.0,2.0,0.0
exercise_13,2.0,2.0,2.0,0.0
exercise_130,2.0,2.0,2.0,0.0
exercise_132,2.0,2.0,2.0,0.0
exercise_133,2.0,2.0,2.0,0.0
exercise_134,2.0,2.0,2.0,0.0
exercise_135,2.0,2.0,2.0,0.0
exercise_136,2.0,2.0,2.0,0.0
exercise_137,2.0,2.0,2.0,0.0
exercise_138,2.0,2.0,2.0,0.0
exercise_139,2.0,2.0,2.0,0.0
exercise_140,2.0,2.0,2.0,0.0
exercise_141,2.0,2.0,2.0,0.0
exercise_142,2.0,2.0,2.0,0.0
exercise_289,2.0,2.0,2.0,0.0
exercise_290,2.0,2.0,2.0,0.0
exercise_291,2.0,2.0,2.0,0.0
exercise_292,2.0,2.0,2.0,0.0
exercise_293,2.0,2.0,2.0,0.0
exercise_294,2.0,2.0,2.0,0.0
exercise_295,2.0,2.0,2.0,0.0
exercise_297,2.0,2.0,2.0,0.0
exercise_298,2.0,2.0,2.0,0.0
exercise_299,2.0,2.0,2.0,0.0
exercise_300,2.0,2.0,2.0,0.0
exercise_301,2.0,2.0,2.0,0.0
exercise_302,2.0,2.0,2.0,0.0
exercise_303,2.0,2.0,2.0,0.0
exercise_304,2.0,2.0,2.0,0.0
exercise_305,2.0,2.0,2.0,0.0
exercise_306,2.0,2.0,2.0,0.0
exercise_307,2.0,2.0,2.0,0.0
exercise_308,2.0,2.0,2.0,0.0
exercise_309,2.0,2.0,2.0,0.0
exercise_31,2.0,2.0,2.0,0.0
exercise_310,2.0,2.0,2.0,0.0
exercise_311,2.0,2.0,2.0,0.0
exercise_312,2.0,2.0,2.0,0.0
exercise_313,2.0,2.0,2.0,0.0
exercise_314,2.0,2.0,2.0,0.0
exercise_315,2.0,2.0,2.0,0.0
exercise_317,2.0,2.0,2.0,0.0
exercise_318,2.0,2.0,2.0,0.0
exercise_319,2.0,2.0,2.0,0.0
exercise_32,2.0,2.0,2.0,0.0
