exercise,language_1,language_2,language_3,Total_Difference
exercise_6,9.2,8.3,6.9,2.299999999999999
exercise_33,8.1,8.1,6.3,1.7999999999999998
exercise_29,8.9,8.8,7.6,1.3000000000000007
exercise_48,8.4,7.4,8.7,1.299999999999999
exercise_28,8.7,8.2,9.3,1.1000000000000014
exercise_32,7.5,8.6,8.4,1.0999999999999996
exercise_42,9.7,8.9,8.7,1.0
exercise_2,8.8,8.5,7.9,0.9000000000000004
exercise_26,8.3,7.7,8.5,0.7999999999999998
exercise_30,8.3,8.1,8.8,0.7000000000000011
exercise_25,7.7,8.3,7.6,0.7000000000000011
exercise_23,8.2,8.9,8.9,0.7000000000000011
exercise_3,7.8,8.5,8.3,0.7000000000000002
exercise_24,8.7,8.3,9.0,0.6999999999999993
exercise_22,8.4,9.1,8.7,0.6999999999999993
exercise_17,8.4,8.7,9.1,0.6999999999999993
exercise_31,8.7,8.9,9.3,0.6000000000000014
exercise_20,8.6,9.2,8.9,0.5999999999999996
exercise_50,9.0,9.4,8.8,0.5999999999999996
exercise_9,9.2,8.6,8.6,0.5999999999999996
exercise_13,8.7,8.4,9.0,0.5999999999999996
exercise_18,8.7,8.8,9.2,0.5
exercise_15,8.4,8.9,8.5,0.5
exercise_49,8.8,9.1,8.6,0.5
exercise_40,9.0,8.5,9.0,0.5
exercise_19,8.9,8.4,8.9,0.5
exercise_47,8.7,8.8,8.3,0.5
exercise_39,8.6,8.9,9.0,0.40000000000000036
exercise_16,8.6,9.0,9.0,0.40000000000000036
exercise_14,8.6,8.9,9.0,0.40000000000000036
exercise_12,8.6,9.0,8.7,0.40000000000000036
exercise_44,9.0,8.7,8.9,0.3000000000000007
exercise_4,8.4,8.1,8.2,0.3000000000000007
exercise_1,8.1,8.4,8.1,0.3000000000000007
exercise_36,8.9,9.0,8.7,0.3000000000000007
exercise_5,8.5,8.5,8.2,0.3000000000000007
exercise_27,8.1,7.8,8.1,0.2999999999999998
exercise_41,8.9,9.2,8.9,0.29999999999999893
exercise_46,8.4,8.7,8.4,0.29999999999999893
exercise_38,8.8,8.6,8.7,0.20000000000000107
exercise_10,9.0,8.8,9.0,0.1999999999999993
exercise_21,8.9,8.8,9.0,0.1999999999999993
exercise_7,8.9,9.1,8.9,0.1999999999999993
exercise_45,9.0,9.1,8.9,0.1999999999999993
exercise_37,9.1,8.9,8.9,0.1999999999999993
exercise_43,9.0,8.8,8.9,0.1999999999999993
exercise_8,9.0,8.8,8.9,0.1999999999999993
exercise_11,8.9,9.0,8.9,0.09999999999999964
exercise_35,9.1,9.0,9.0,0.09999999999999964
exercise_34,8.7,8.7,8.7,0.0
