exercise,language_1,language_2,language_3,Total_Difference
exercise_39,6.1,8.8,8.1,2.700000000000001
exercise_27,7.9,5.6,8.3,2.700000000000001
exercise_6,7.5,5.6,5.3,2.2
exercise_29,8.2,6.0,7.7,2.1999999999999993
exercise_18,7.7,5.8,7.8,2.0
exercise_30,6.3,7.9,7.7,1.6000000000000005
exercise_5,7.9,6.8,8.3,1.5000000000000009
exercise_24,7.9,6.8,8.3,1.5000000000000009
exercise_17,7.1,5.7,5.7,1.3999999999999995
exercise_3,6.5,7.2,7.8,1.2999999999999998
exercise_2,7.3,8.3,8.5,1.2000000000000002
exercise_15,8.0,7.5,8.6,1.0999999999999996
exercise_25,6.9,8.0,7.9,1.0999999999999996
exercise_4,8.0,8.3,7.3,1.0000000000000009
exercise_19,8.3,7.9,8.9,1.0
exercise_16,7.5,8.1,8.5,1.0
exercise_44,7.8,8.2,8.7,0.8999999999999995
exercise_49,8.9,8.1,8.8,0.8000000000000007
exercise_35,7.8,8.6,8.6,0.7999999999999998
exercise_8,7.2,7.9,8.0,0.7999999999999998
exercise_41,8.5,8.1,8.8,0.7000000000000011
exercise_21,8.2,8.9,8.3,0.7000000000000011
exercise_13,8.0,7.9,8.6,0.6999999999999993
exercise_50,9.0,8.3,8.3,0.6999999999999993
exercise_26,7.9,7.9,8.6,0.6999999999999993
exercise_32,8.1,7.9,8.6,0.6999999999999993
exercise_42,7.8,7.5,8.1,0.5999999999999996
exercise_43,8.2,8.1,8.7,0.5999999999999996
exercise_1,8.1,8.6,8.7,0.5999999999999996
exercise_10,8.0,8.4,8.6,0.5999999999999996
exercise_12,7.6,8.2,8.1,0.5999999999999996
exercise_28,8.3,8.3,7.8,0.5000000000000009
exercise_46,8.3,7.8,7.8,0.5000000000000009
exercise_48,8.0,7.8,8.3,0.5000000000000009
exercise_20,7.7,8.2,8.2,0.4999999999999991
exercise_23,7.9,8.2,7.7,0.4999999999999991
exercise_7,8.0,8.4,8.3,0.40000000000000036
exercise_37,8.1,8.4,8.5,0.40000000000000036
exercise_47,8.0,7.8,8.2,0.39999999999999947
exercise_31,8.1,7.7,8.1,0.39999999999999947
exercise_11,7.8,8.2,7.9,0.39999999999999947
exercise_14,8.0,8.0,8.3,0.3000000000000007
exercise_33,6.8,7.0,6.7,0.2999999999999998
exercise_9,7.7,8.0,8.0,0.2999999999999998
exercise_34,7.7,7.9,7.7,0.20000000000000018
exercise_22,8.1,7.9,7.9,0.1999999999999993
exercise_36,8.1,8.1,8.2,0.09999999999999964
exercise_38,8.1,8.1,8.1,0.0
exercise_45,8.3,8.3,8.3,0.0
exercise_40,8.5,8.5,8.5,0.0
