"Topic Area","Topic","Progress Level","Exercise","Technical Terms"
"Numbers and operations","Understanding and representing numbers","B","Draw 10 stars in the box and color 5 of them blue.","1. Box (Box)
2. Sterne (Stars)
3. Zeichnen (Draw)
4. Färben (Color)
5. Blau (Blue)
6. Anzahl (Number)
7. Position (Position)
8. Fläche (Area)
9. Grafik (Graphic)
10. Objekt (Object)"
"Numbers and operations","Understanding and representing numbers","B","Count the number of apples in the picture and write the total number in the empty circle below.","1. Zählen  
2. Äpfel  
3. Bild  
4. Gesamtanzahl  
5. Leerer Kreis  
6. Objektzählung  
7. Bildverarbeitung  
8. Datenanalyse  
9. Erkennung  
10. Klassifizierung"
"Numbers and operations","Understanding and representing numbers","B","Write the numbers from 1 to 20 in order on the lines provided.","1. Zahlen  
2. Reihenfolge  
3. Schreiben  
4. Liste  
5. Anordnung  
6. Linie  
7. Nummern  
8. Bereich  
9. Aufzählung  
10. Sequenz"
"Numbers and operations","Understanding and representing numbers","B","Draw lines to connect the numbers 1 to 20 with their matching dot patterns.","1. Verbindungslinien  
2. Punktmuster  
3. Sequenz  
4. Diagramm  
5. Zuordnung  
6. Numerische Reihenfolge  
7. Visualisierung  
8. Erkennung  
9. Abbildung  
10. Graphik"
"Numbers and operations","Understanding and representing numbers","B","Circle the number that has the same number of dots underneath it; for example if you see 5 dots circle the number 5.","1. Kreis
2. Zahl
3. Punkte
4. Unter
5. Umkreisen
6. Gleich
7. Anzahl
8. Identifizieren
9. Zuordnen
10. Aufgabe"
"Numbers and operations","Understanding and representing numbers","B","Fill in the blanks with the correct number symbol that matches the dot patterns shown on the page.","1. Punktmuster
2. Zahlensymbol
3. Übereinstimmung
4. Reihenfolge
5. Zählen
6. Erkennung
7. Zuordnung
8. Anordnung
9. Visualisierung
10. Lösung"
"Numbers and operations","Understanding and performing operations","C","Emma has 24 apples and she gives 13 apples to her friend; how many apples does she have left?","1. Äpfel
2. geben
3. Freund
4. übrig
5. Subtraktion
6. Rest"
"Numbers and operations","Understanding and performing operations","C","A farmer has 36 carrots and picks another 12 carrots; how many carrots does he have in total?","- Farmer
- Karotten
- Gesamt
- Addition
- Plus
- Anzahl"
"Numbers and operations","Understanding and performing operations","C","Liam read 45 pages of his book then finished 22 more pages; how many pages did he read altogether?","- Seiten
- insgesamt
- lesen
- Addition
- Summe"
"Numbers and operations","Understanding and performing operations","C","Sarah has 8 boxes of cookies and each box contains 12 cookies; how many cookies does she have in total?","1. Box (Box)
2. Cookie (Keks)
3. Menge (Quantity)
4. Multiplizieren (Multiply)
5. Gesamtanzahl (Total number)
6. Produkt (Product)
7. Addition (Addition)"
"Numbers and operations","Understanding and performing operations","C","A farmer has 240 apples that he wants to pack into baskets with each basket holding 15 apples; how many baskets does he need?","1. Äpfel
2. Körbe
3. Kapazität
4. Division
5. Anzahl
6. Gesamtmenge"
"Numbers and operations","Understanding and performing operations","C","If a car travels 120 miles in 3 hours how many miles does it travel in each hour?","1. Geschwindigkeit
2. Distanz
3. Zeit
4. Durchschnittsgeschwindigkeit
5. Einheit
6. Verhältnis
7. Division
8. Proportionalität"
"Numbers and operations","Understanding and performing operations","D","Liam has 347 marbles and he gives away 128 marbles to his friends; how many marbles does he have left?","- Marbles
- Geben
- Freunde
- Rest
- Subtraktion
- Gleichung
- Anzahl
- Minus"
"Numbers and operations","Understanding and performing operations","D","A bakery sold 456 cupcakes in the morning and 289 cupcakes in the afternoon; how many cupcakes were sold in total?","1. Summe
2. Addition
3. Gesamtanzahl
4. Verkauf
5. Cupcake
6. Vormittag
7. Nachmittag
8. Zählen"
"Numbers and operations","Understanding and performing operations","D","Sarah has a collection of 864 stickers and she loses 275 stickers; how many stickers does she still have?","1. Sammlung
2. Sticker
3. Verlust
4. Subtraktion
5. Betrag
6. Differenz
7. Gesamtsumme"
"Numbers and operations","Understanding and performing operations","D","A bakery sells packs of cookies for $24 each and a customer wants to buy 4 packs; use the distributive property to find the total cost.","1. Distributive Eigenschaft
2. Multiplikation
3. Addition
4. Kosten
5. Packung
6. Gleichung
7. Summe
8. Faktor
9. Produkt
10. Preis"
"Numbers and operations","Understanding and performing operations","D","If a box contains 36 chocolates and is divided equally into 4 smaller boxes how many chocolates will be in each box using the distributive property?","1. Schokolade
2. Box
3. Teilen
4. Gleichmäßig
5. Verteilung
6. Distributive Eigenschaft
7. Division
8. Ergebnis"
"Numbers and operations","Understanding and performing operations","D","A gardener needs to plant 29 flowers in rows of 3; apply the distributive property to calculate the total number of flowers he needs to plant.","1. Verteilungsgesetz  
2. Multiplikation  
3. Addition  
4. Reihen  
5. Blumen  
6. Gesamtzahl  
7. Faktor  
8. Produkt  
9. Rest  
10. Division"
"Numbers and operations","Understanding and representing numbers","G","Convert the fraction 3/8 into a decimal and a percentage.","1. Bruch  
2. Dezimalzahl  
3. Prozent  
4. Umwandlung  
5. Dividieren  
6. Multiplikation"
"Numbers and operations","Understanding and representing numbers","G","A student scored 85% on a test; express this score as a fraction in simplest form.","1. Prozent
2. Bruch
3. Einfachste Form
4. Zähler
5. Nenner
6. Kürzen
7. Ganzzahl
8. Dezimalzahl"
"Numbers and operations","Understanding and representing numbers","G","If a shirt costs $45 and is on sale for 30% off determine the sale price in decimal form.","1. Preis (Price)
2. Rabatt (Discount)
3. Prozent (Percent)
4. Verkaufspreis (Sale Price)
5. Dezimalform (Decimal Form)"
"Numbers and operations","Understanding and performing operations","F","A submarine is at a depth of 150 meters below sea level; if it rises 75 meters what is its new depth?","- U-Boot
- Meeresspiegel
- Tiefe
- Meter
- Steigen
- Unterwasser
- Höhenunterschied
- Negativer Wert"
"Numbers and operations","Understanding and performing operations","F","A mountain climber ascends 200 meters then descends 50 meters; what is her final elevation change from sea level?","1. Höhenänderung  
2. Meeresspiegel  
3. Aufstieg  
4. Abstieg  
5. Differenz  
6. Netto-Höhenänderung"
"Numbers and operations","Understanding and performing operations","F","If a temperature drops from -5 degrees Celsius to -12 degrees Celsius overnight how many degrees did it drop?","1. Temperatur
2. Celsius
3. Grad
4. Abfall
5. Differenz"
"Numbers and operations","Ordering numbers","C","Arrange the following ages of children at a birthday party from youngest to oldest: 8 5 9 7.","1. Alter
2. Anordnung
3. Vergleichen
4. Reihenfolge
5. Numerisch
6. Aufsteigend"
"Numbers and operations","Ordering numbers","C","Put the following temperatures in order from the coldest to the warmest: 35°F 28°F 42°F 30°F.","1. Temperatur 
2. Fahrenheit 
3. Ordnung 
4. Kälter 
5. Wärmer 
6. Vergleich 
7. Skala 
8. Einheiten"
"Numbers and operations","Ordering numbers","C","Order the scores from a basketball game in ascending order: 45 32 58 27.","- Reihenfolge
- Aufsteigend
- Zahlen
- Sortieren
- Daten"
"Numbers and operations","Ordering numbers","H","Order the following temperatures from coldest to warmest: -5°C 0°C -2°C and 3°C.","1. Temperatur  
2. Celsius  
3. Skala  
4. Grad  
5. Kälte  
6. Wärme  
7. Ordnung"
"Numbers and operations","Ordering numbers","H","Arrange the following bank account balances from the least to the greatest value: -150.75 200.50 -45.30 and 75.00.","1. Kontoauszug  
2. Saldo  
3. Positiver Wert  
4. Negativer Wert  
5. Vergleich  
6. Rangfolge  
7. Zahlenwert  
8. Dezimalzahl  
9. Betrag  
10. Sortierung"
"Numbers and operations","Ordering numbers","H","Put the following elevations in order from lowest to highest: -30 meters 50 meters -5 meters and 10 meters.","1. Höhenlage
2. Meter
3. Negativhöhe
4. Positivhöhe
5. Ordnen
6. Vergleich
7. Reihenfolge"
"Numbers and operations","Expanding number relationships and number spaces","D","The sequence of plants in a garden grows as 2 5 8 __ __; find the next two numbers in the sequence.","1. Folge
2. Zahlenfolge
3. Differenz
4. Arithmetische Reihe
5. Regelmäßigkeit
6. Fortsetzung
7. Muster
8. Terme"
"Numbers and operations","Expanding number relationships and number spaces","D","A sprinting team completes their laps in the following times: 60 seconds 64 seconds 68 seconds __ __; what are the next two lap times?","1. Sprint 
2. Runde 
3. Zeit 
4. Durchschnitt 
5. Progression 
6. Sequenz 
7. Muster 
8. Vorhersage 
9. Intervall 
10. Analyse"
"Numbers and operations","Expanding number relationships and number spaces","D","A baker uses a pattern of ingredients: 1 cup of sugar 2 cups of flour 3 eggs __ __; identify the next two items in this ingredient pattern.","- Zutat
- Muster
- Reihenfolge
- Menge
- Anzahl
- Backen"
"Numbers and operations","Expanding number relationships and number spaces","E","List all the factors of 36 and identify which of these factors are also prime numbers.","1. Faktor
2. Primzahl
3. Teilbarkeit
4. natürliche Zahlen
5. Teiler
6. Menge
7. Primfaktorzerlegung
8. Vielfaches"
"Numbers and operations","Expanding number relationships and number spaces","E","Calculate the first five multiples of 7 and explain the pattern you observe in those multiples.","1. Vielfache
2. Multiplikation
3. Muster
4. Zahlenfolge
5. Arithmetik"
