"Topic Area","Topic","Progress Level","Exercise","Technical Terms"
"Zahlen und Operationen","Zahlen auffassen und darstellen","B","Count objects up to 20","1. Counting
2. Objects
3. Numerical range
4. Enumeration
5. Units
6. Quantification
7. Cardinality
8. One-to-one correspondence
9. Set
10. Tallying"
"Zahlen und Operationen","Zahlen auffassen und darstellen","B","Write 15 in tens and ones","1. Place value
2. Tens
3. Ones
4. Digits
5. Base-10 system
6. Numerals
7. Decomposition
8. Expanded form
9. Integer
10. Value representation
11. Quantity
12. Counting
13. Addition
14. Partitioning
15. Cardinal numbers"
"Zahlen und Operationen","Zahlen auffassen und darstellen","C","Write 234 in expanded form","1. Expanded form  
2. Place value  
3. Digits  
4. Addition  
5. Base ten  
6. Representation  
7. Numerical expression"
"Zahlen und Operationen","Zahlen auffassen und darstellen","C","Show ½ with a fraction bar","1. Fraction
2. Numerator
3. Denominator
4. Fraction bar
5. Equivalent fractions
6. Simplification"
"Zahlen und Operationen","Zahlen auffassen und darstellen","D","Express 3.75 as a fraction","1. Decimal
2. Fraction
3. Numerator
4. Denominator
5. Simplification
6. Mixed number"
"Zahlen und Operationen","Zahlen auffassen und darstellen","D","Convert 27 (base 10) to base 2","1. Base (radix)
2. Base 10 (decimal)
3. Base 2 (binary)
4. Conversion
5. Powers of 2
6. Division
7. Remainder
8. Binary representation
9. Algorithm"
"Zahlen und Operationen","Zahlen auffassen und darstellen","E","Plot negative numbers on a line","1. Number Line
2. Negative Numbers
3. Axis
4. Origin
5. Scale
6. Coordinate
7. Plotting
8. Interval
9. Graphical Representation
10. Quadrant"
"Zahlen und Operationen","Zahlen auffassen und darstellen","E","Illustrate 3/5 as decimal and percent","1. Fraction  
2. Decimal  
3. Percent  
4. Numerator  
5. Denominator  
6. Conversion  
7. Ratio  
8. Equivalence  
9. Place value  
10. Multiplication"
"Zahlen und Operationen","Zahlen auffassen und darstellen","F","Rewrite 2.4×10³ in standard form","- Standard form
- Scientific notation
- Exponential notation
- Base
- Exponent
- Decimal point"
"Zahlen und Operationen","Zahlen auffassen und darstellen","F","Represent 125 in binary","1. Binary Number System  
2. Base  
3. Decimal  
4. Bit  
5. Byte  
6. Place Value  
7. Powers of Two  
8. Conversion  
9. Algorithm"
"Zahlen und Operationen","Zahlen auffassen und darstellen","G","Change 5¼ to improper fraction","- Mixed number
- Improper fraction
- Numerator
- Denominator
- Whole number
- Fraction addition"
"Zahlen und Operationen","Zahlen auffassen und darstellen","G","Plot ¾, √2, –1.5 on a line","- Number line
- Rational numbers
- Irrational numbers
- Integers
- Decimal representation
- Absolute value
- Coordinate points
- Plotting points
- Scale
- Interval"
"Zahlen und Operationen","Zahlen auffassen und darstellen","H","Compare decimal/binary/hex","1. Decimal
2. Binary
3. Hexadecimal
4. Base
5. Conversion
6. Digits
7. Place value
8. Bit
9. Nibble
10. Byte
11. Overflow
12. Representation
13. Integer
14. Character encoding
15. Arithmetic operations"
"Zahlen und Operationen","Zahlen auffassen und darstellen","H","Evaluate best representations in context","1. Representation
2. Context
3. Evaluation
4. Criteria
5. Metrics
6. Visualization
7. Data Analysis
8. Model
9. Framework
10. Interpretation
11. Stakeholders
12. Usability
13. Relevance
14. Accuracy
15. Clarity"
"Zahlen und Operationen","Zahlen ordnen","B","Compare two-digit numbers","1. Digit  
2. Place value  
3. Comparison  
4. Greater than  
5. Less than  
6. Equal to  
7. Number line  
8. Order of operations  
9. Integer  
10. Tens place  
11. Units place  
12. Decimals  
13. Abacus (if applicable)  
14. Numerical value  
15. Base-10 system"
"Zahlen und Operationen","Zahlen ordnen","B","Place 5 numbers on a number line","1. Number Line  
2. Coordinate  
3. Interval  
4. Position  
5. Integer  
6. Rational Number  
7. Visualization  
8. Order  
9. Distance  
10. Scale"
"Zahlen und Operationen","Zahlen ordnen","C","Order fractions 1/2, 2/3, 3/4","- Fraction
- Numerator
- Denominator
- Common denominator
- Comparing fractions
- Ordering fractions
- Equivalent fractions
- Simplifying fractions"
"Zahlen und Operationen","Zahlen ordnen","C","Sort decimals 0.2, 0.15, 0.35","- Decimals
- Sorting
- Comparison
- Numerical order
- Place value
- Magnitude"
"Zahlen und Operationen","Zahlen ordnen","D","Round 345.67 to nearest whole/tenth","- Rounding
- Whole number
- Tenth
- Decimal point
- Place value
- Nearest
- Significant digits"
