Topic Area,Topic,Progress Level,Exercise
Zahlen und Operationen,Zahlen auffassen und darstellen,B,Zähle Objekte bis 20.
Zahlen und Operationen,Zahlen auffassen und darstellen,B,Schreibe 15 in Zehnern und Einern.
Zahlen und Operationen,Zahlen auffassen und darstellen,C,Schreibe 234 in erweiterter Form.
Zahlen und Operationen,Zahlen auffassen und darstellen,C,Stelle ½ mit einem Bruchstrich dar.
Zahlen und Operationen,Zahlen auffassen und darstellen,D,"Stelle 3,75 als Bruch dar."
Zahlen und Operationen,Zahlen auffassen und darstellen,D,Umwandlung von 27 (Basis 10) in Basis 2.
Zahlen und Operationen,Zahlen auffassen und darstellen,E,Negative Zahlen auf einer Linie plotten.
Zahlen und Operationen,Zahlen auffassen und darstellen,E,Stellen Sie 3/5 als Dezimalzahl und Prozentangabe dar.
Zahlen und Operationen,Zahlen auffassen und darstellen,F,"Schreibe 2,4×10³ in dezimaler Schreibweise um."
Zahlen und Operationen,Zahlen auffassen und darstellen,F,Stellen Sie 125 im Binärsystem dar.
Zahlen und Operationen,Zahlen auffassen und darstellen,G,"""Konvertieren Sie 5¼ in einen unechten Bruch."""
Zahlen und Operationen,Zahlen auffassen und darstellen,G,"Plotte ¾, √2, –1,5 auf einer Linie."
Zahlen und Operationen,Zahlen auffassen und darstellen,H,Vergleiche Dezimal/Binär/Hexadezimal
Zahlen und Operationen,Zahlen auffassen und darstellen,H,"""Bewerten Sie die besten Darstellungen im Kontext"""
Zahlen und Operationen,Zahlen ordnen,B,Vergleiche zweistellige Zahlen.
Zahlen und Operationen,Zahlen ordnen,B,Setze 5 Zahlen auf eine Zahlengerade.
Zahlen und Operationen,Zahlen ordnen,C,"Ordne die Brüche 1/2, 2/3, 3/4."
Zahlen und Operationen,Zahlen ordnen,C,"Sortiere Dezimalzahlen 0,2, 0,15, 0,35."
Zahlen und Operationen,Zahlen ordnen,D,"Runde 345,67 auf die nächste ganze Zahl/ein Zehntel."
Zahlen und Operationen,Zahlen ordnen,D,Erklären Sie das Ordnen von negativen Zahlen.
Zahlen und Operationen,Zahlen ordnen,E,Dezimalzahlen/Brüche/Prozentsätze anordnen
Zahlen und Operationen,Zahlen ordnen,E,Wähle Rundungsstrategien für Geld aus.
Zahlen und Operationen,Zahlen ordnen,F,Ordne rationale/irrationale Zahlen
Zahlen und Operationen,Zahlen ordnen,F,Diskutieren Sie Rundungsfehler (finanziell)
Zahlen und Operationen,Zahlen ordnen,G,Vergleiche Ausdrücke für x-Werte.
Zahlen und Operationen,Zahlen ordnen,G,Verwenden Sie Ungleichungen \(x < y < z\) in Beziehungen.
Zahlen und Operationen,Zahlen ordnen,H,Diskutieren Sie die Anordnung komplexer Zahlen
Zahlen und Operationen,Zahlen ordnen,H,Untersuche die Anordnung in der modularen Arithmetik.
Zahlen und Operationen,Operationen verstehen und ausführen,B,Addiere zweistellige Zahlen im Kopf.
Zahlen und Operationen,Operationen verstehen und ausführen,B,Subtractiere 42 – 17 und erkläre.
Zahlen und Operationen,Operationen verstehen und ausführen,C,Zwei- bis einstellige Zahlen multiplizieren (distributiv)
Zahlen und Operationen,Operationen verstehen und ausführen,C,Teile dreistellige durch einstellige Zahlen mit Rest.
Zahlen und Operationen,Operationen verstehen und ausführen,D,Verwenden Sie den Standardalgorithmus für 234×12.
Zahlen und Operationen,Operationen verstehen und ausführen,D,"Langdivision mit Dezimalzahlen (75,6 ÷ 3,2)"
Zahlen und Operationen,Operationen verstehen und ausführen,E,Verwende die kommutativen/assoziativen Gesetze.
Zahlen und Operationen,Operationen verstehen und ausführen,E,Löse prozentuale Probleme aus dem echten Leben.
Zahlen und Operationen,Operationen verstehen und ausführen,F,Mit rationalen Zahlen rechnen
Zahlen und Operationen,Operationen verstehen und ausführen,F,Finde den GGT/KGV durch Primfaktorzerlegung.
Zahlen und Operationen,Operationen verstehen und ausführen,G,Wende die Potenzgesetze an.
Zahlen und Operationen,Operationen verstehen und ausführen,G,Vereinfache Ausdrücke mit negativen Exponenten.
Zahlen und Operationen,Operationen verstehen und ausführen,H,"Mit Polynomen arbeiten (faktorisieren, erweitern)"
Zahlen und Operationen,Operationen verstehen und ausführen,H,Umgang mit Surden/fortgeschrittenen symbolischen Formen
Zahlen und Operationen,Zahlenbeziehungen und Zahlenräume erweitern,B,Identifizieren Sie ungerade/gerade Zahlen bis 100.
Zahlen und Operationen,Zahlenbeziehungen und Zahlenräume erweitern,B,"Finde Vielfache von 2, 5, 10."
Zahlen und Operationen,Zahlenbeziehungen und Zahlenräume erweitern,C,"Brüche (1/2, 1/4) auf einer Linie platzieren."
Zahlen und Operationen,Zahlenbeziehungen und Zahlenräume erweitern,C,"Konvertiere 1/2, 3/4 in Dezimalzahlen."
Zahlen und Operationen,Zahlenbeziehungen und Zahlenräume erweitern,D,Verwenden Sie negative ganze Zahlen (Temperatur)
Zahlen und Operationen,Zahlenbeziehungen und Zahlenräume erweitern,D,Addiere/Subtrahiere Brüche (ungleichnamige Nenner)
Zahlen und Operationen,Zahlenbeziehungen und Zahlenräume erweitern,E,Prozentsatzberechnungen anwenden
Zahlen und Operationen,Zahlenbeziehungen und Zahlenräume erweitern,E,Umwandlung von Brüchen/Dezimalzahlen/Prozentangaben in Wortaufgaben.
Zahlen und Operationen,Zahlenbeziehungen und Zahlenräume erweitern,F,Addiere/Subtrahiere rationale Ausdrücke
Zahlen und Operationen,Zahlenbeziehungen und Zahlenräume erweitern,F,Periodische Dezimalzahlen in Brüche umwandeln
Zahlen und Operationen,Zahlenbeziehungen und Zahlenräume erweitern,G,Unterscheide rational von irrational.
Zahlen und Operationen,Zahlenbeziehungen und Zahlenräume erweitern,G,Approximiere √2 oder π auf eine vorgegebene Genauigkeit.
Zahlen und Operationen,Zahlenbeziehungen und Zahlenräume erweitern,H,Erkunden Sie die Übersicht über komplexe Zahlen.
Zahlen und Operationen,Zahlenbeziehungen und Zahlenräume erweitern,H,Erweitern auf fortgeschrittene Mengen (komplexe Ebene)
Zahlen und Operationen,Rechenstrategien anwenden,B,Im Geiste einstellige Zahlen zu zweistelligen addieren/subtrahieren.
Zahlen und Operationen,Rechenstrategien anwenden,B,Erkläre das Addieren von 9 zu einer Zahl.
Zahlen und Operationen,Rechenstrategien anwenden,C,Überprüfen Sie die Subtraktion durch Addition
Zahlen und Operationen,Rechenstrategien anwenden,C,"Verwende Verdopplung/Halbierung, um die Multiplikation zu vereinfachen."
Zahlen und Operationen,Rechenstrategien anwenden,D,Schätzen Sie 398×52 und überprüfen Sie dann.
Zahlen und Operationen,Rechenstrategien anwenden,D,Kombiniere Kopfrechnen und schriftliche Methoden.
Zahlen und Operationen,Rechenstrategien anwenden,E,Löse mehrstufige Textaufgaben (Prozente)
Zahlen und Operationen,Rechenstrategien anwenden,E,Vergleiche Kopfrechnen vs. schriftliches Rechnen vs. Taschenrechner.
Zahlen und Operationen,Rechenstrategien anwenden,F,Verwenden Sie die Faktorisierung für große Berechnungen.
Zahlen und Operationen,Rechenstrategien anwenden,F,Erklären Sie die Fehlerüberprüfung mit Dezimalzahlen/Brüchen.
Zahlen und Operationen,Rechenstrategien anwenden,G,Nähernäherungslösungen (Newton-Verfahren)
Zahlen und Operationen,Rechenstrategien anwenden,G,Analysiere die Effizienz mehrerer Strategien.
Zahlen und Operationen,Rechenstrategien anwenden,H,Verallgemeinere symbolische Manipulationsstrategien
Zahlen und Operationen,Rechenstrategien anwenden,H,"Vergleiche mentale, symbolische, technologische Ansätze."
Raum und Form,Raumorientierung und Lagebeziehungen,B,Erkenne links/rechts im Klassenzimmer.
Raum und Form,Raumorientierung und Lagebeziehungen,B,Befolgen Sie Anweisungen auf einem einfachen Raster.
Raum und Form,Raumorientierung und Lagebeziehungen,C,Plottiere ganzzahlige Punkte auf einem Gitter.
Raum und Form,Raumorientierung und Lagebeziehungen,C,"Beschreiben Sie Punktlokationen als (x,y)."
Raum und Form,Raumorientierung und Lagebeziehungen,D,Verwende Maßstab/Kompassrichtungen auf einer Karte.
Raum und Form,Raumorientierung und Lagebeziehungen,D,Platzieren Sie negative Koordinaten in vier Quadranten.
Raum und Form,Raumorientierung und Lagebeziehungen,E,Übersetzen Sie reale Wege in Koordinaten.
Raum und Form,Raumorientierung und Lagebeziehungen,E,Identifizieren Sie geometrische Transformationen auf einem Plan.
Raum und Form,Raumorientierung und Lagebeziehungen,F,Verwenden Sie Vektoren für Positionen/Bewegungen.
Raum und Form,Raumorientierung und Lagebeziehungen,F,Löse Probleme zur Bestimmung von Entfernung/Mittelpunkt.
Raum und Form,Raumorientierung und Lagebeziehungen,G,Anwenden von Matrizen für Transformationen.
Raum und Form,Raumorientierung und Lagebeziehungen,G,Beschreiben Sie 3D-Koordinaten oder Querschnitte.
Raum und Form,Raumorientierung und Lagebeziehungen,H,Fortgeschrittenes Vektor-/Matrix in räumlichen Aufgaben
Raum und Form,Raumorientierung und Lagebeziehungen,H,Untersuchen Sie Transformationen in höheren Dimensionen.
Raum und Form,Eigenschaften und Beziehungen von Figuren und Körpern,B,"Erkenne grundlegende Formen (Kreis, Quadrat)"
Raum und Form,Eigenschaften und Beziehungen von Figuren und Körpern,B,Sortiere reale Objekte (Würfel vs. Prisma)
Raum und Form,Eigenschaften und Beziehungen von Figuren und Körpern,C,Klassifizieren Sie Polygone nach Seiten/Winkeln.
Raum und Form,Eigenschaften und Beziehungen von Figuren und Körpern,C,Vergleiche Formen anhand paralleler Seiten oder rechter Winkel.
Raum und Form,Eigenschaften und Beziehungen von Figuren und Körpern,D,Benennen Sie 3D-Festkörper und identifizieren Sie Netze.
Raum und Form,Eigenschaften und Beziehungen von Figuren und Körpern,D,Untersuche Winkelsummen in Polygonen.
Raum und Form,Eigenschaften und Beziehungen von Figuren und Körpern,E,"Analysiere Kreiseigenschaften (Radius, Durchmesser)"
Raum und Form,Eigenschaften und Beziehungen von Figuren und Körpern,E,"Finde Winkelsummen in Polygonen (Dreiecken, Vierecken)."
Raum und Form,Eigenschaften und Beziehungen von Figuren und Körpern,F,Vergleiche Volumen/Oberfläche von Prismen
Raum und Form,Eigenschaften und Beziehungen von Figuren und Körpern,F,Erkenne platonische Körper (Eigenschaften)
Raum und Form,Eigenschaften und Beziehungen von Figuren und Körpern,G,Untersuche Querschnitte von 3D-Formen.
Raum und Form,Eigenschaften und Beziehungen von Figuren und Körpern,G,"Verwenden Sie Eulers Formel (Flächen, Kanten, Ecken)."
Raum und Form,Eigenschaften und Beziehungen von Figuren und Körpern,H,Untersuche komplexe Festkörper oder Fraktale.
Raum und Form,Eigenschaften und Beziehungen von Figuren und Körpern,H,Angewandte fortgeschrittene Polyedergeometrie
Raum und Form,Konstruktionen und Zeichnungen,B,Zeichne mit einem Lineal eine Strecke (8 cm).
Raum und Form,Konstruktionen und Zeichnungen,B,Zeichne ein Rechteck mit vorgegebenen Seiten.
Raum und Form,Konstruktionen und Zeichnungen,C,Errichten Sie senkrechte Linien (Geodreieck).
Raum und Form,Konstruktionen und Zeichnungen,C,Verwende einen Zirkel für einen Kreis (Radius gegeben).
Raum und Form,Konstruktionen und Zeichnungen,D,Einen Winkel mit Zirkel und Lineal halbieren.
Raum und Form,Konstruktionen und Zeichnungen,D,Konstruiere ein Dreieck (bei gegebenen Seitenlängen).
Raum und Form,Konstruktionen und Zeichnungen,E,Einen Kreis in ein Polygon einschreiben
Raum und Form,Konstruktionen und Zeichnungen,E,Konstruiere regelmäßige Vielecke (wo möglich)
Raum und Form,Konstruktionen und Zeichnungen,F,Verwenden Sie die Koordinatengeometrie für präzise Zeichnungen.
Raum und Form,Konstruktionen und Zeichnungen,F,Erstellen Sie komplexe Polygone mit Software.
Raum und Form,Konstruktionen und Zeichnungen,G,Analysiere geometrische Orte
Raum und Form,Konstruktionen und Zeichnungen,G,Fortgeschrittene Konstruktionen vorführen (Apollonische Kreise).
Raum und Form,Konstruktionen und Zeichnungen,H,Studieren Sie die Konstruierbarkeit (Galois-Theorie).
Raum und Form,Konstruktionen und Zeichnungen,H,Erkunden Sie höherdimensionale oder fortgeschrittene geometrische Konstruktionen.
Raum und Form,Symmetrien und Abbildungen,B,Faltentest für Liniensymmetrie
Raum und Form,Symmetrien und Abbildungen,B,Erstelle ein symmetrisches Muster (Papierfalten).
Raum und Form,Symmetrien und Abbildungen,C,Reflektiere eine Figur an einer Gitterlinie.
Raum und Form,Symmetrien und Abbildungen,C,Beschreibe symmetrische Objekte (Schmetterlingsflügel).
Raum und Form,Symmetrien und Abbildungen,D,Übersetzen/Spiegeln/Drehen auf Koordinaten
Raum und Form,Symmetrien und Abbildungen,D,"Identifizieren Sie Rotationssymmetrie (Quadrat, Dreieck)"
Raum und Form,Symmetrien und Abbildungen,E,Konstruiere Symmetrielinien für Polygone.
